WARD,ID,YEAR,ITEM,CATEGORY,LOCATION,COST,TOTAL COST
44,47819,2024,Chicago Park District,Parks,500 N LAKE SHORE DR,100000,7782683
44,47820,2024,Concrete Alley Menu,Alleys,W ROSCOE ST & N RACINE AVE&N LAKEWOOD AVE & W HENDERSON ST; 1243 W ROSCOE ST,50359,7782683
44,47821,2024,Miscellaneous CDOT Projects,Misc. CDOT,N ORCHARD ST & W BELMONT AVE,70000,7782683
44,47822,2024,Street Light Arterial Menu,Lighting,ON W BELMONT AVE FROM N CLARK ST (840 W) TO N SHEFFIELD AVE (999 W),250000,7782683
44,47823,2024,Street Resurfacing Menu,Street Resurfacing,ON N JANSSEN AVE FROM W ROSCOE ST (3400 N) TO W ADDISON ST (3600 N),67358,7782683
44,47824,2024,Street Resurfacing Menu,Street Resurfacing,ON N WAYNE AVE FROM W GRACE ST (3800 N) TO W BYRON ST (3900 N),49998,7782683
44,47825,2024,Street Resurfacing Menu,Street Resurfacing,ON W EDDY ST FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),60713,7782683
44,47826,2024,Street Resurfacing Menu,Street Resurfacing,ON W GRACE ST FROM 1157 W TO N CLIFTON AVE (1120 W),55323,7782683
44,47827,2024,Street Resurfacing Menu,Street Resurfacing,ON W OAKDALE AVE FROM N HALSTED ST (800 W) TO N MILDRED AVE (900 W),29095,7782683
44,47828,2024,Street Resurfacing Menu,Street Resurfacing,ON W OAKDALE AVE FROM N MILDRED AVE (900 W) TO N SHEFFIELD AVE (999 W),52817,7782683
44,47829,2024,Street Resurfacing Menu,Street Resurfacing,ON W OAKDALE AVE FROM N SHEFFIELD AVE (999 W) TO N SEMINARY AVE (1100 W),48347,7782683
44,47830,2024,Street Resurfacing Menu,Street Resurfacing,ON W WAVELAND AVE FROM N HALSTED ST (800 W) TO N FREMONT ST (900 W),23458,7782683
44,47831,2024,Street Speed Hump Replacement,Street Resurfacing,ON N WAYNE AVE FROM W GRACE ST (3800 N) TO W BYRON ST (3900 N),0,7782683
44,47832,2024,Street Speed Hump Replacement,Street Resurfacing,ON W EDDY ST FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),0,7782683
44,47833,2024,Street Speed Hump Replacement,Street Resurfacing,ON W OAKDALE AVE FROM N SHEFFIELD AVE (999 W) TO N SEMINARY AVE (1100 W),0,7782683
45,36674,2019,Alley Speed Hump Menu,Alleys,W IRVING PARK RD & N AVERS AVE & N SPRINGFIELD AVE & W BELLE PLAINE AVE,949,8087592
45,36675,2019,Concrete Alley Menu,Alleys,4219 N KILPATRICK AVE,227900,8087592
45,36676,2019,Street Resurfacing Menu (1-5),Street Resurfacing,ON N LOTUS AVE FROM N LYNCH AVE (5350 N) TO W BALMORAL AVE (5400 N),28865,8087592
45,36677,2019,Street Resurfacing Menu,Street Resurfacing,ON N MERRIMAC AVE FROM W GUNNISON ST (4832 N) TO W STRONG ST (4900 N),68108,8087592
45,36678,2019,Street Resurfacing Menu,Street Resurfacing,ON W DAKIN ST FROM N LECLAIRE AVE (5100 W) TO N LARAMIE AVE (5200 W),49334,8087592
45,36679,2019,Street Resurfacing Menu,Street Resurfacing,ON N NORMANDY AVE FROM W MONTROSE AVE (4400 N) TO W STRONG ST (4900 N),39674,8087592
45,36680,2019,Street Resurfacing Menu,Street Resurfacing,ON W BALMORAL AVE FROM N LOTUS AVE (5430 W) TO N LINDER AVE (5500 W),21734,8087592
45,36681,2019,Street Resurfacing Menu,Street Resurfacing,ON N LAWNDALE AVE FROM W BYRON ST (3900 N) TO W IRVING PARK RD (4000 N),48134,8087592
