WARD,ID,YEAR,ITEM,CATEGORY,LOCATION,COST,TOTAL COST
16,13772,2022,Street Resurfacing Menu,Street Resurfacing,ON S LAFLIN ST FROM W 62ND ST (6200 S) TO W 63RD ST (6300 S),56001,8066852
16,13773,2022,Street Resurfacing Menu,Street Resurfacing,ON S PEORIA ST FROM W 56TH ST (5600 S) TO W 57TH ST (5700 S),65490,8066852
16,13774,2022,Street Resurfacing Menu,Street Resurfacing,ON S SANGAMON ST FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),57003,8066852
16,13775,2022,Street Resurfacing Menu,Street Resurfacing,ON S SANGAMON ST FROM W 64TH ST (6400 S) TO W 66TH ST (6600 S),112594,8066852
16,13776,2022,Street Resurfacing Menu,Street Resurfacing,ON S SEELEY AVE FROM W 62ND ST (6200 S) TO W 63RD ST (6300 S),60100,8066852
16,13777,2022,Street Resurfacing Menu,Street Resurfacing,ON S THROOP ST FROM W GARFIELD BLVD (5500 S) TO W 56TH ST (5600 S),48259,8066852
16,13778,2022,Street Resurfacing Menu,Street Resurfacing,ON W 52ND ST FROM 2100 W TO S DAMEN AVE (2000 W),115800,8066852
16,13779,2022,Street Speed Hump Menu,Street Resurfacing,ON S CAMPBELL AVE FROM W 61ST ST (6100 S) TO W 62ND ST (6200 S),4700,8066852
16,13780,2022,Street Speed Hump Menu,Street Resurfacing,ON S HOYNE AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),4700,8066852
16,40627,2020,Alley Resurfacing Menu,Alleys,ON W 66TH ST FROM 2230 W TO S BELL AVE (2220 W):W 65TH ST & S BELL AVE & S HAMILTON AVE & W MARQUETTE RD,17014,8066852
16,40628,2020,Alley Resurfacing Menu,Alleys,W 55TH ST & S RICHMOND ST & S SACRAMENTO AVE & W 56TH ST:5558 S RICHMOND ST,31884,8066852
16,40629,2020,Curb & Gutter Menu,Street Resurfacing,2230-2330 W 64TH ST:ON W 64TH ST FROM S BELL AVE (2220 W) TO S CLAREMONT AVE (2330 W),150000,8066852
16,40630,2022,Bollard Menu,Pedestrian Infrastructure,W 53RD ST & S DAMEN AVE; 5300 S DAMEN AVE,3337,8066852
16,40631,2022,Street Resurfacing Menu,Street Resurfacing,ON S PEORIA ST FROM 6128 S TO W 61ST ST (6100 S); 6100 S PEORIA ST,33289,8066852
16,42099,2019,Street Speed Hump Replacement,Street Resurfacing,ON S LAFLIN ST FROM W 59TH ST (5900 S) TO W 62ND ST (6200 S),0,8066852
16,42100,2019,Street Speed Hump Replacement,Street Resurfacing,ON S MAY ST FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),0,8066852
16,42101,2019,Street Speed Hump Replacement,Street Resurfacing,ON S HOYNE AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),0,8066852
16,42102,2020,Alley Speed Hump Replacement,Alleys,S CALIFORNIA AVE & W 62ND ST:S FAIRFIELD AVE & W 61ST ST,0,8066852
16,42103,2020,Alley Speed Hump Replacement,Alleys,W 65TH ST & S BELL AVE & S HAMILTON AVE & W MARQUETTE RD:ON W 66TH ST FROM 2230 W TO S BELL AVE (2220 W),0,8066852
16,42104,2020,Street Speed Hump Replacement,Street Resurfacing,ON S SEELEY AVE FROM W 64TH ST (6400 S) TO W MARQUETTE RD (6700 S),0,8066852
16,42105,2021,Alley Speed Hump Replacement,Alleys,W 58TH ST & S RICHMOND ST & S SACRAMENTO AVE & W 59TH ST,0,8066852
16,42106,2021,Alley Speed Hump Replacement,Alleys,W 64TH ST & S PEORIA ST & S SANGAMON ST & W 65TH ST,0,8066852
16,42107,2021,Street Speed Hump Replacement,Street Resurfacing,ON S ELIZABETH ST FROM W 59TH ST (5900 S) TO W 61ST ST (6100 S),0,8066852
16,42108,2021,Street Speed Hump Replacement,Street Resurfacing,ON S ELIZABETH ST FROM W GARFIELD BLVD (5500 S) TO W 58TH ST (5800 S),0,8066852
16,42109,2021,Street Speed Hump Replacement,Street Resurfacing,ON S HERMITAGE AVE FROM W 53RD ST (5300 S) TO W GARFIELD BLVD (5500 S),0,8066852
16,42110,2021,Street Speed Hump Replacement,Street Resurfacing,ON S JUSTINE ST FROM W GARFIELD BLVD (5500 S) TO W 59TH ST (5900 S),0,8066852
16,42111,2021,Street Speed Hump Replacement,Street Resurfacing,ON S LAFLIN ST FROM W 62ND ST (6200 S) TO W 63RD ST (6300 S),0,8066852
16,42112,2021,Street Speed Hump Replacement,Street Resurfacing,ON S MAY ST FROM W 60TH ST (6000 S) TO W 63RD ST (6300 S),0,8066852
16,42113,2021,Street Speed Hump Replacement,Street Resurfacing,ON S MAY ST FROM W 63RD ST (6300 S) TO W 65TH ST (6500 S),0,8066852
16,42114,2021,Street Speed Hump Replacement,Street Resurfacing,ON S SANGAMON ST FROM W 61ST ST (6100 S) TO W 63RD PKWY (6300 S),0,8066852
16,42115,2021,Street Speed Hump Replacement,Street Resurfacing,ON S THROOP ST FROM W 59TH ST (5900 S) TO W 61ST ST (6100 S),0,8066852
16,42116,2021,Street Speed Hump Replacement,Street Resurfacing,ON S WINCHESTER AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),0,8066852
16,42117,2021,Street Speed Hump Replacement,Street Resurfacing,ON W 61ST PL FROM 740 W TO S WALLACE ST (600 W),0,8066852
16,42118,2022,Alley Speed Hump Replacement,Alleys,S MARSHFIELD AVE & W 56TH ST & W 57TH ST & S PAULINA ST,0,8066852
16,42119,2022,Street Speed Hump Replacement,Street Resurfacing,ON S PEORIA ST FROM W 56TH ST (5600 S) TO W 57TH ST (5700 S),0,8066852
16,42120,2022,Street Speed Hump Replacement,Street Resurfacing,ON S SANGAMON ST FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),0,8066852
16,42121,2022,Street Speed Hump Replacement,Street Resurfacing,ON S SANGAMON ST FROM W 64TH ST (6400 S) TO W 66TH ST (6600 S),0,8066852
16,42122,2022,Street Speed Hump Replacement,Street Resurfacing,ON S THROOP ST FROM W GARFIELD BLVD (5500 S) TO W 56TH ST (5600 S),0,8066852
16,42123,2022,Street Speed Hump Replacement,Street Resurfacing,ON W 52ND ST FROM 2100 W TO S DAMEN AVE (2000 W),0,8066852
16,44405,2023,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,W 53RD ST & S DAMEN AVE,160000,8066852
16,44406,2023,Collector Street - Miscellaneous Concrete ,Misc.,ON W 54TH ST FROM S LOOMIS BLVD (1400 W) TO S DAMEN AVE (2000 W),13912,8066852
16,44407,2023,Miscellaneous CDOT Projects,Misc. CDOT,700 W 59TH ST,660,8066852
16,44408,2023,Pavement Markings Menu,Street Redesign,S CALIFORNIA AVE & W MARQUETTE RD,3300,8066852
16,44409,2023,Sidewalk Menu,Sidewalk Repair,5739-5759 S HALSTED ST,62005,8066852
16,44410,2023,Sidewalk Menu,Sidewalk Repair,6600 S SEELEY AVE,25173,8066852
16,44411,2023,Speed Indicator Signs,Traffic Signals,S CALIFORNIA AVE & W MARQUETTE RD,28000,8066852
16,44412,2023,Street Resurfacing Menu,Street Resurfacing,ON S ABERDEEN ST FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),61749,8066852
16,44413,2023,Street Resurfacing Menu,Street Resurfacing,ON S CARPENTER ST FROM W 58TH ST (5800 S) TO W 59TH ST (5900 S),62300,8066852
16,44414,2023,Street Resurfacing Menu,Street Resurfacing,ON S CARPENTER ST FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),58043,8066852
16,44415,2023,Street Resurfacing Menu,Street Resurfacing,ON S FAIRFIELD AVE FROM W 59TH ST (5900 S) TO W 61ST ST (6100 S),121577,8066852
16,44416,2023,Street Resurfacing Menu,Street Resurfacing,ON S GREEN ST FROM W 64TH ST (6400 S) TO W 65TH ST (6500 S),60956,8066852
16,44417,2023,Street Resurfacing Menu,Street Resurfacing,ON S HONORE ST FROM W 51ST ST (5100 S) TO W 54TH ST (5400 S),183620,8066852
16,44418,2023,Street Resurfacing Menu,Street Resurfacing,ON S LAFLIN ST FROM W GARFIELD BLVD (5470 S) TO W 56TH ST (5600 S),12918,8066852
16,44419,2023,Street Resurfacing Menu,Street Resurfacing,ON S LAFLIN ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),63510,8066852
16,44420,2023,Street Resurfacing Menu,Street Resurfacing,ON S LOWE AVE FROM W GARFIELD BLVD (5500 S) TO W 56TH ST (5600 S),34239,8066852
16,44421,2023,Street Resurfacing Menu,Street Resurfacing,ON S MAY ST FROM W 69TH ST (6900 S) TO W 71ST ST (7100 S),125979,8066852
16,44422,2023,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),59687,8066852
16,44423,2023,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),34063,8066852
16,44424,2023,Street Resurfacing Menu,Street Resurfacing,ON S SANGAMON ST FROM W 69TH ST (6900 S) TO W 71ST ST (7100 S),115183,8066852
16,44425,2023,Street Resurfacing Menu,Street Resurfacing,ON S WOOD ST FROM W 53RD ST (5300 S) TO W 54TH ST (5400 S),61455,8066852
16,44426,2023,Street Speed Hump Replacement,Street Resurfacing,ON S ABERDEEN ST FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),0,8066852
16,44427,2023,Street Speed Hump Replacement,Street Resurfacing,ON S GREEN ST FROM W 64TH ST (6400 S) TO W 65TH ST (6500 S),0,8066852
16,44428,2023,Street Speed Hump Replacement,Street Resurfacing,ON S HONORE ST FROM W 51ST ST (5100 S) TO W 54TH ST (5400 S),0,8066852
16,44429,2023,Street Speed Hump Replacement,Street Resurfacing,ON S LAFLIN ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),0,8066852
16,44430,2023,Street Speed Hump Replacement,Street Resurfacing,ON S LOWE AVE FROM W GARFIELD BLVD (5500 S) TO W 56TH ST (5600 S),0,8066852
16,44431,2023,Street Speed Hump Replacement,Street Resurfacing,ON S MAY ST FROM W 69TH ST (6900 S) TO W 71ST ST (7100 S),0,8066852
16,44432,2023,Street Speed Hump Replacement,Street Resurfacing,ON S PAULINA ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),0,8066852
16,44433,2023,Street Speed Hump Replacement,Street Resurfacing,ON S SANGAMON ST FROM W 69TH ST (6900 S) TO W 71ST ST (7100 S),0,8066852
16,44434,2023,Street Speed Hump Replacement,Street Resurfacing,ON S WOOD ST FROM W 53RD ST (5300 S) TO W 54TH ST (5400 S),0,8066852
16,46674,2024,Alley Apron Menu,Alleys,5701 S JUSTINE ST; 5759 S JUSTINE ST,59245,8066852
16,46675,2024,Alley Resurfacing Menu,Alleys,W 57TH ST & S JUSTINE ST&S LAFLIN ST & W 58TH ST,30807,8066852
16,46676,2024,Alley Resurfacing Menu,Alleys,W 63RD ST & S TALMAN AVE&S ROCKWELL ST & W 64TH ST,48582,8066852
16,46677,2024,Alley Resurfacing Menu,Alleys,W 65TH ST & S TALMAN AVE&S WASHTENAW AVE & W 66TH ST,35797,8066852
16,46678,2024,Alley Resurfacing Menu,Alleys,W GARFIELD BLVD & S ASHLAND AVE&S JUSTINE ST & W 56TH ST,41435,8066852
16,46679,2024,Alley Speed Hump Replacement,Alleys,W 63RD ST & S TALMAN AVE&S ROCKWELL ST & W 64TH ST,0,8066852
16,46680,2024,Miscellaneous CDOT Projects,Misc. CDOT,5701 S ASHLAND AVE,862,8066852
16,46681,2024,Sidewalk Menu,Sidewalk Repair,6400 S HOYNE AVE,16137,8066852
16,46682,2024,Sidewalk Menu,Sidewalk Repair,6458 S ARTESIAN AVE,6240,8066852
16,46683,2024,Sidewalk Menu,Sidewalk Repair,ON W 54TH ST FROM S HERMITAGE AVE (1730 W) TO S WOOD ST (1800 W),10750,8066852
16,46684,2024,Street Light Residential Staggered Piggy Back Menu,Lighting,ON S JUSTINE ST FROM W 61ST ST (6100 S) TO W 63RD ST (6300 S),336000,8066852
16,46685,2024,Street Resurfacing Menu,Street Resurfacing,ON S ABERDEEN ST FROM W 53RD ST (5300 S) TO W 57TH ST (5700 S),202940,8066852
16,46686,2024,Street Resurfacing Menu,Street Resurfacing,ON S ABERDEEN ST FROM W 59TH ST (5900 S) TO W 60TH ST (6000 S),54747,8066852
16,46687,2024,Street Resurfacing Menu,Street Resurfacing,ON S CARPENTER ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),61367,8066852
16,46688,2024,Street Resurfacing Menu,Street Resurfacing,ON S TALMAN AVE FROM W 62ND ST (6200 S) TO W 63RD ST (6300 S),51441,8066852
16,46689,2024,Street Resurfacing Menu,Street Resurfacing,ON S WOLCOTT AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),58374,8066852
16,46690,2024,Street Resurfacing Menu,Street Resurfacing,ON S WOLCOTT AVE FROM W 53RD ST (5300 S) TO W GARFIELD BLVD (5500 S),115708,8066852
16,46691,2024,Street Resurfacing Menu,Street Resurfacing,ON S WOLCOTT AVE FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),58607,8066852
16,46692,2024,Street Resurfacing Menu,Street Resurfacing,ON S WOOD ST FROM W 51ST ST (5100 S) TO W 53RD ST (5300 S),140702,8066852
16,46693,2024,Street Resurfacing Menu,Street Resurfacing,ON W 51ST PL FROM 2148 W TO S DAMEN AVE (2000 W),84819,8066852
16,46694,2024,Street Speed Hump Menu,Street Resurfacing,ON S CAMPBELL AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),4880,8066852
16,46695,2024,Street Speed Hump Menu,Street Resurfacing,ON S JUSTINE ST FROM W GARFIELD BLVD (5500 S) TO W 56TH ST (5600 S),2440,8066852
16,46696,2024,Street Speed Hump Menu,Street Resurfacing,ON S MORGAN ST FROM W 59TH ST (5900 S) TO W 60TH ST (6000 S),4880,8066852
16,46697,2024,Street Speed Hump Replacement,Street Resurfacing,ON S ABERDEEN ST FROM W 53RD ST (5300 S) TO W 57TH ST (5700 S),0,8066852
16,46698,2024,Street Speed Hump Replacement,Street Resurfacing,ON S CARPENTER ST FROM W MARQUETTE RD (6700 S) TO W 68TH ST (6800 S),0,8066852
16,46699,2024,Street Speed Hump Replacement,Street Resurfacing,ON S WOLCOTT AVE FROM W 53RD ST (5300 S) TO W GARFIELD BLVD (5500 S),0,8066852
16,46700,2024,Street Speed Hump Replacement,Street Resurfacing,ON S WOLCOTT AVE FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),0,8066852
17,14343,2019,Alley Apron Menu,Alleys,8111 S DAMEN AVE,27571,8091149
17,14344,2019,Alley Apron Menu,Alleys,7913 S WOOD ST,29700,8091149
17,14345,2019,Alley Apron Menu,Alleys,7914 S WOOD ST,27478,8091149
17,14346,2019,Alley Speed Hump Menu,Alleys,7915 S GREEN ST,1400,8091149
17,14347,2019,POD Camera: 7100 S. Central Park Ave,Police Cameras,7100 S CENTRAL PARK AVE,24776,8091149
17,14348,2019,Miscellaneous CDOT Projects,Misc. CDOT,7935 S GREEN ST,500,8091149
17,14349,2019,Miscellaneous CDOT Projects,Misc. CDOT,1625-1703 W 74TH ST,600,8091149
17,14350,2019,Miscellaneous CDOT Projects,Misc. CDOT,W 77TH ST & S FIELDING AVE,500,8091149
17,14351,2019,Sidewalk Menu,Sidewalk Repair,7559 S MARSHFIELD AVE,21004,8091149
17,14352,2019,Sidewalk Menu,Sidewalk Repair,7300 S MARSHFIELD AVE,41875,8091149
17,14353,2019,Sidewalk Menu,Sidewalk Repair,7200 S CHRISTIANA AVE,29092,8091149
17,14354,2019,Sidewalk Menu,Sidewalk Repair,7527 S WOLCOTT AVE,6122,8091149
17,14355,2019,Sidewalk Menu,Sidewalk Repair,7200 S CHRISTIANA AVE,22683,8091149
17,14356,2019,Street Resurfacing Menu (1-5),Street Resurfacing,ON E 81ST ST FROM S LAFAYETTE AVE (30 W) TO S PERRY AVE (100 W),21478,8091149
17,14357,2019,Street Resurfacing Menu,Street Resurfacing,ON S LA SALLE ST FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S),52851,8091149
17,14358,2019,Street Resurfacing Menu,Street Resurfacing,ON S PRINCETON AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S),53508,8091149
17,14359,2019,Street Resurfacing Menu,Street Resurfacing,ON S YALE AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S),48784,8091149
17,14360,2019,Street Resurfacing Menu,Street Resurfacing,ON S GREEN ST FROM W 75TH ST (7500 S) TO W 76TH ST (7600 S),47810,8091149
17,14361,2019,Street Resurfacing Menu,Street Resurfacing,ON S HERMITAGE AVE FROM W 75TH PL (7520 S) TO W 78TH ST (7800 S),105209,8091149
17,14362,2019,Street Resurfacing Menu,Street Resurfacing,1200 W 74TH PL,62302,8091149
17,14363,2019,Street Resurfacing Menu,Street Resurfacing,ON S GREEN ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S),53719,8091149
17,14364,2019,Street Resurfacing Menu,Street Resurfacing,ON S YALE AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S),46373,8091149
17,14365,2019,Street Resurfacing Menu,Street Resurfacing,ON S LA SALLE ST FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S),51972,8091149
17,14366,2019,Street Resurfacing Menu,Street Resurfacing,ON S SPAULDING AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),52969,8091149
17,14367,2019,Street Resurfacing Menu,Street Resurfacing,ON S TROY ST FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),39119,8091149
17,14368,2019,Street Resurfacing Menu,Street Resurfacing,ON S WASHTENAW AVE FROM W MARQUETTE RD (6700 S) TO W LITHUANIAN PLAZA CT (6900 S),87826,8091149
17,14369,2019,Street Speed Hump Menu,Street Resurfacing,ON S HOMAN AVE FROM W 72ND ST (7200 S) TO W 73RD ST (7300 S),4700,8091149
17,14370,2020,Alley Apron Menu,Alleys,ON W 80TH ST FROM S YALE AVE (230 W) TO S PRINCETON AVE (300 W),57013,8091149
17,14371,2020,Alley Apron Menu,Alleys,ON W 80TH ST FROM S WINCHESTER AVE (1930 W) TO S WOLCOTT AVE (1900 W),31575,8091149
17,14372,2020,Alley Resurfacing Menu,Alleys,W 65TH ST & S MOZART ST & S FRANCISCO AVE & W 66TH ST,47244,8091149
17,14373,2020,Sidewalk Menu,Sidewalk Repair,ON W 76TH ST FROM S YALE AVE (250 W) TO S WENTWORTH AVE (200 W),61110,8091149
17,14374,2020,Street Resurfacing Menu,Street Resurfacing,ON S GREEN ST FROM W 76TH ST (7600 S) TO W 78TH ST (7800 S),142197,8091149
17,14375,2020,Street Resurfacing Menu,Street Resurfacing,ON S ROCKWELL ST FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S),52084,8091149
17,14376,2020,Street Resurfacing Menu,Street Resurfacing,ON S WOLCOTT AVE FROM W 76TH ST (7600 S) TO W 77TH ST (7700 S),68272,8091149
17,14377,2020,Street Resurfacing Menu,Street Resurfacing,ON S HONORE ST FROM W 81ST ST (8100 S) TO W 82ND ST (8200 S),58636,8091149
17,14378,2020,Street Resurfacing Menu,Street Resurfacing,ON S WENTWORTH AVE FROM W 79TH ST (7900 S) TO W 81ST ST (8100 S),130970,8091149
17,14379,2020,Street Resurfacing Menu,Street Resurfacing,ON W 66TH ST FROM S MOZART ST (2830 W) TO S FRANCISCO AVE (2900 W),24505,8091149
17,14380,2020,Street Resurfacing Menu,Street Resurfacing,ON S WASHTENAW AVE FROM W MARQUETTE RD (6700 S) TO W LITHUANIAN PLAZA CT (6900 S),48796,8091149
17,14381,2020,Street Resurfacing Menu,Street Resurfacing,ON S EMERALD AVE FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S),96989,8091149
17,14382,2020,Street Speed Hump Menu,Street Resurfacing,ON S WASHTENAW AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S),4700,8091149
17,14383,2020,Street Speed Hump Menu,Street Resurfacing,ON S FAIRFIELD AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S),4700,8091149
17,14384,2020,Street Speed Hump Menu,Street Resurfacing,ON S MORGAN ST FROM W 75TH ST (7500 S) TO W 76TH ST (7600 S),4700,8091149
17,14385,2020,Street Speed Hump Menu,Street Resurfacing,ON S ABERDEEN ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S),4700,8091149
17,14386,2021,Alley Apron Menu,Alleys,3400 W 73RD ST,28352,8091149
17,14387,2021,Alley Apron Menu,Alleys,ON W 70TH ST FROM S MAPLEWOOD AVE (2530 W) TO S ROCKWELL ST (2600 W),30800,8091149
17,14388,2021,Alley Apron Menu,Alleys,ON W 80TH ST FROM S WENTWORTH AVE (200 W) TO S YALE AVE (230 W),66770,8091149
17,14389,2021,Alley Resurfacing Menu,Alleys,W 65TH ST & S TROY ST & S ALBANY AVE & W 66TH ST,29820,8091149
17,14390,2021,Alley Resurfacing Menu,Alleys,W 74TH ST & S ABERDEEN ST & S MAY ST & W 75TH ST,31886,8091149
17,14391,2021,Alley Resurfacing Menu,Alleys,W LITHUANIAN PLAZA CT & S ARTESIAN AVE & S WESTERN AVE & W 70TH ST,52692,8091149
17,14392,2021,Alley Resurfacing Menu,Alleys,W LITHUANIAN PLAZA CT & S CAMPBELL AVE & S MAPLEWOOD AVE & W 70TH ST,52283,8091149
17,14393,2021,Bollard Menu,Pedestrian Infrastructure,7114 S KEDZIE AVE,1333,8091149
17,14394,2021,Bus Pad,Misc.,1758 W 69TH ST,32683,8091149
17,14395,2021,Concrete Alley Menu,Alleys,S PAULINA ST & W 77TH ST & W 78TH ST & S HERMITAGE AVE,55153,8091149
17,14396,2021,Miscellaneous CDOT Projects,Misc. CDOT,7400 S MAY ST,660,8091149
17,14397,2021,Miscellaneous CDOT Projects,Misc. CDOT,7958 S CARPENTER ST,150,8091149
17,14398,2021,Sidewalk Menu,Sidewalk Repair,7201 S HOMAN AVE,20013,8091149
17,14399,2021,Sidewalk Menu,Sidewalk Repair,7353 S HONORE ST,7055,8091149
17,14400,2021,Sidewalk Menu,Sidewalk Repair,7722 S SANGAMON ST,3883,8091149
17,14401,2021,Sidewalk Menu,Sidewalk Repair,7920 S WINCHESTER AVE,16243,8091149
17,14402,2021,Sidewalk Menu,Sidewalk Repair,ON S WENTWORTH AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S),94293,8091149
17,14403,2021,Street Light Residential Staggered Piggy Back Menu,Lighting,ON S WOOD ST FROM W 76TH ST (7600 S) TO W 78TH ST (7800 S),280000,8091149
17,14404,2021,Street Light Upgrade Menu,Lighting,7934 S CARPENTER ST,500,8091149
17,14405,2021,Street Resurfacing Menu,Street Resurfacing,ON S BISHOP ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S),48859,8091149
17,14406,2021,Street Resurfacing Menu,Street Resurfacing,ON S ELIZABETH ST FROM W MARQUETTE RD (6700 S) TO W 69TH ST (6900 S),98536,8091149
17,14407,2021,Street Resurfacing Menu,Street Resurfacing,ON S HARVARD AVE FROM W 79TH ST (7900 S) TO W 81ST ST (8100 S),110365,8091149
17,14408,2021,Street Resurfacing Menu,Street Resurfacing,ON S HONORE ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S),150757,8091149
17,14409,2021,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S),46310,8091149
17,14410,2021,Street Resurfacing Menu,Street Resurfacing,ON S STEWART AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S),60603,8091149
17,14411,2021,Street Resurfacing Menu,Street Resurfacing,ON S THROOP ST FROM W 68TH ST (6800 S) TO W 69TH ST (6900 S),50044,8091149
17,14412,2021,Street Resurfacing Menu,Street Resurfacing,ON S WOLCOTT AVE FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S),52599,8091149
17,14413,2021,Street Resurfacing Menu,Street Resurfacing,ON W 71ST PL FROM 2150 W TO S HOYNE AVE (2100 W),18385,8091149
17,14414,2021,Street Speed Hump Menu,Street Resurfacing,ON S ABERDEEN ST FROM W 74TH ST (7400 S) TO W 75TH ST (7500 S),4700,8091149
17,14415,2021,Street Speed Hump Menu,Street Resurfacing,ON S BISHOP ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S),4700,8091149
17,14416,2021,Street Speed Hump Menu,Street Resurfacing,ON S JUSTINE ST FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S),4700,8091149
17,14417,2021,Street Speed Hump Menu,Street Resurfacing,ON S SAWYER AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S),4700,8091149
17,14418,2022,1 LPR w/ Existing Camera NW Corner 7051 S. Western Avenue,Police Cameras,7051 S WESTERN AVE,5485,8091149
17,14419,2022,Alley Resurfacing Menu,Alleys,S GREEN ST & W 76TH ST & W 77TH ST & S PEORIA ST,33038,8091149
17,14420,2022,Bollard Menu,Pedestrian Infrastructure,7114 S KEDZIE AVE,1333,8091149
17,14421,2022,Curb & Gutter Menu,Street Resurfacing,6925 S ARTESIAN AVE,5804,8091149
17,14422,2022,Curb & Gutter Menu,Street Resurfacing,8058 S WOLCOTT AVE,13043,8091149
17,14423,2022,Miscellaneous CDOT Projects,Misc. CDOT,1057 W 79TH ST,150,8091149
17,14424,2022,Miscellaneous CDOT Projects,Misc. CDOT,7752 S GREEN ST,150,8091149
17,14425,2022,Sidewalk Menu,Sidewalk Repair,1401 W 71ST PL,10447,8091149
17,14426,2022,Sidewalk Menu,Sidewalk Repair,6553 S RICHMOND ST,4832,8091149
17,14427,2022,Sidewalk Menu,Sidewalk Repair,8217-8219 S WOLCOTT AVE,9782,8091149
17,14428,2022,Sidewalk Menu,Sidewalk Repair,ON S PAULINA ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S),14755,8091149
17,14429,2022,Sidewalk Menu,Sidewalk Repair,ON W 73RD PL FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W),145250,8091149
17,14430,2022,Sidewalk Menu,Sidewalk Repair,ON W 73RD ST FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W),79803,8091149
17,14431,2022,Sidewalk Menu,Sidewalk Repair,ON W 74TH ST FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W),144598,8091149
17,14432,2022,Street Light Upgrade Menu,Lighting,ON W 75TH ST FROM S OAKLEY AVE (2300 W) TO S WESTERN AVE (2400 W),1500,8091149
17,14433,2022,Street Resurfacing Menu,Street Resurfacing,ON S BISHOP ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S),105900,8091149
17,14434,2022,Street Resurfacing Menu,Street Resurfacing,ON S HERMITAGE AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S),49608,8091149
17,14435,2022,Street Resurfacing Menu,Street Resurfacing,ON S HERMITAGE AVE FROM W 81ST ST (8100 S) TO W 83RD ST (8300 S),97503,8091149
17,14436,2022,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W 68TH ST (6800 S) TO W 69TH ST (6900 S),58258,8091149
17,14437,2022,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W 76TH ST (7600 S) TO W 77TH ST (7700 S),51173,8091149
17,14438,2022,Street Resurfacing Menu,Street Resurfacing,ON S PAULINA ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S),50364,8091149
17,14439,2022,Street Resurfacing Menu,Street Resurfacing,ON S TALMAN AVE FROM W 68TH ST (6800 S) TO W LITHUANIAN PLAZA CT (6900 S),52763,8091149
